"id","name_zh","name_en","expansion","type","lvl","boss_count","mech_count","avg_mech_chars","bilingual_pct","desc_bilingual_pct","role_tips","mnemonic_count","grade"
"aac_light-heavyweight_m1","AAC 中量級 M1","AAC Light-heavyweight M1","7.x 黃金的遺產 (Dawntrail)","raid","100","1","7","13.3","100","100","3","5","shallow"
"aac_light-heavyweight_m1_savage","阿卡狄亞零式登天鬥技場 輕量級1","AAC Light-heavyweight M1 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","21","56.3","95.2","100","17","6","excellent"
"aac_light-heavyweight_m2","阿卡狄亞登天鬥技場 輕量級2","AAC Light-heavyweight M2","7.x 黃金的遺產 (Dawntrail)","raid","100","1","11","28.7","90.9","100","2","4","fair"
"aac_light-heavyweight_m2_savage","阿卡狄亞零式登天鬥技場 輕量級2","AAC Light-heavyweight M2 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","17","46","94.1","100","4","5","excellent"
"aac_light-heavyweight_m3","阿卡狄亞登天鬥技場 輕量級3","AAC Light-heavyweight M3","7.x 黃金的遺產 (Dawntrail)","raid","100","1","11","27.1","100","100","2","5","fair"
"aac_light-heavyweight_m3_savage","阿卡狄亞零式登天鬥技場 輕量級3","AAC Light-heavyweight M3 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","17","51","88.2","100","5","6","excellent"
"aac_light-heavyweight_m4","阿卡狄亞登天鬥技場 輕量級4","AAC Light-heavyweight M4","7.x 黃金的遺產 (Dawntrail)","raid","100","1","11","34.2","100","100","3","6","good"
"aac_light-heavyweight_m4_savage","阿卡狄亞零式登天鬥技場 輕量級4","AAC Light-heavyweight M4 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","25","54.2","92","100","5","6","excellent"
"abyssal_fracture","深淵裂縫","The Abyssal Fracture","6.x 曉月之終途 (Endwalker)","trial","90","1","6","14","100","100","3","5","shallow"
"abyssal_fracture_extreme","深淵裂縫 (極)","The Abyssal Fracture (Extreme)","6.x 曉月之終途 (Endwalker)","trial","90","1","6","18","100","100","3","5","shallow"
"abyssos_the_eighth_circle","萬魔殿 煉淨之獄4","Abyssos: The Eighth Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","8","32.8","100","100","2","6","good"
"abyssos_the_eighth_circle_savage","萬魔殿 煉淨之獄零式4","Abyssos: The Eighth Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","15","56.3","100","100","5","8","excellent"
"abyssos_the_fifth_circle","萬魔殿 煉淨之獄1","Abyssos: The Fifth Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","5","47.4","80","100","2","5","fair"
"abyssos_the_fifth_circle_savage","萬魔殿 煉淨之獄零式1","Abyssos: The Fifth Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","11","62.5","100","100","7","8","excellent"
"abyssos_the_seventh_circle","萬魔殿 煉淨之獄3","Abyssos: The Seventh Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","34.5","100","100","2","5","good"
"abyssos_the_seventh_circle_savage","萬魔殿 煉淨之獄零式3","Abyssos: The Seventh Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","11","47.1","100","100","6","8","excellent"
"abyssos_the_sixth_circle","萬魔殿 煉淨之獄2","Abyssos: The Sixth Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","38.5","100","100","1","5","good"
"abyssos_the_sixth_circle_savage","萬魔殿 煉淨之獄零式2","Abyssos: The Sixth Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","11","61.8","100","100","5","8","excellent"
"aery","尼德霍格之巢","The Aery","3.x 蒼穹的禁城 (Heavensward)","dungeon","60","3","10","11.6","100","100","5","3","shallow"
"aetherfont","以太之泉","The Aetherfont","6.x 曉月之終途 (Endwalker)","dungeon","90","3","9","16.2","77.8","100","2","3","shallow"
"aetherochemical_research_facility","以太化學研究所","The Aetherochemical Research Facility","3.x 蒼穹的禁城 (Heavensward)","dungeon","60","4","27","92","88.9","0","6","4","fair"
"ageless_necropolis","永恆之死城","The Ageless Necropolis","7.x 黃金的遺產 (Dawntrail)","trial","100","1","13","138.8","61.5","0","5","3","fair"
"aglaia","華麗的閃光","Aglaia","6.x 曉月之終途 (Endwalker)","raid","90","3","10","14.9","100","100","4","3","shallow"
"aitiascope","因果視鏡","The Aitiascope","6.x 曉月之終途 (Endwalker)","dungeon","89","3","10","17.1","90","100","5","3","shallow"
"akadaemia_anyder","終古學院","Akadaemia Anyder","5.x 漆黑的反叛者 (Shadowbringers)","dungeon","80","3","9","14","88.9","100","2","3","shallow"
"akh_afah_amphitheatre_extreme","永生圓劇場 神壇歼殛戰","The Akh Afah Amphitheatre (Extreme)","2.x 重生之境 (A Realm Reborn)","trial","50","1","11","34.5","100","100","5","5","good"
"akh_afah_amphitheatre_hard","永生圓劇場 神壇歼灭戰","The Akh Afah Amphitheatre (Hard)","2.x 重生之境 (A Realm Reborn)","trial","50","1","9","27.4","100","100","4","4","fair"
"ala_mhigo","阿拉米格","Ala Mhigo","4.x 紅蓮之狂潮 (Stormblood)","dungeon","70","3","17","34.5","94.1","100","5","4","good"
"alexander_-_the_arm_of_the_father","亞歷山大 起源之章 3","Alexander - The Arm of the Father","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","5","120.2","80","0","1","3","fair"
"alexander_-_the_arm_of_the_father_savage","亞歷山大零式 起源之章 3 (零式)","Alexander - The Arm of the Father (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","2","34.5","100","0","0","3","shallow"
"alexander_-_the_arm_of_the_son","亞歷山大 律動之章 3","Alexander - The Arm of the Son","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","8","48.4","75","0","1","3","fair"
"alexander_-_the_arm_of_the_son_savage","亞歷山大零式 律動之章 3 (零式)","Alexander - The Arm of the Son (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","3","69","0","0","0","3","shallow"
"alexander_-_the_breath_of_the_creator","亞歷山大 天動之章 2","Alexander - The Breath of the Creator","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","2","128","100","0","0","3","shallow"
"alexander_-_the_breath_of_the_creator_savage","亞歷山大零式 天動之章 2 (零式)","Alexander - The Breath of the Creator (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","19","102.3","100","0","2","3","fair"
"alexander_-_the_burden_of_the_father","亞歷山大 起源之章 4","Alexander - The Burden of the Father","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","4","68.2","50","0","0","3","shallow"
"alexander_-_the_burden_of_the_father_savage","亞歷山大零式 起源之章 4 (零式)","Alexander - The Burden of the Father (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","8","35","50","0","0","3","fair"
"alexander_-_the_burden_of_the_son","亞歷山大 律動之章 4","Alexander - The Burden of the Son","3.x 蒼穹的禁城 (Heavensward)","raid","60","4","27","102.6","96.3","0","7","4","fair"
"alexander_-_the_burden_of_the_son_savage","亞歷山大零式 律動之章 4 (零式)","Alexander - The Burden of the Son (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","4","16","32.2","81.2","0","0","4","fair"
"alexander_-_the_cuff_of_the_father","亞歷山大 起源之章 2","Alexander - The Cuff of the Father","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","3","25","100","100","2","3","shallow"
"alexander_-_the_cuff_of_the_father_savage","亞歷山大 邪龍之手零式 1","Alexander - The Cuff of the Father (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","6","15.2","100","100","3","5","shallow"
"alexander_-_the_cuff_of_the_son","亞歷山大 機神之手 2","Alexander - The Cuff of the Son","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","5","12.4","100","100","2","4","shallow"
"alexander_-_the_cuff_of_the_son_savage","亞歷山大零式 律動之章 2 (零式)","Alexander - The Cuff of the Son (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","4","24","40.1","95.8","0","0","4","fair"
"alexander_-_the_eyes_of_the_creator","亞歷山大 天動之章 1","Alexander - The Eyes of the Creator","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","2","31.5","100","0","0","3","shallow"
"alexander_-_the_eyes_of_the_creator_savage","亞歷山大零式 天動之章 1 (零式)","Alexander - The Eyes of the Creator (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","2","7","48.3","57.1","0","0","3","fair"
"alexander_-_the_fist_of_the_father","亞歷山大 起源之章 1","Alexander - The Fist of the Father","3.x 蒼穹的禁城 (Heavensward)","raid","60","2","8","51.5","100","0","1","3","fair"
"alexander_-_the_fist_of_the_father_savage","亞歷山大零式 起源之章 1 (零式)","Alexander - The Fist of the Father (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","2","12","44.7","41.7","0","0","3","fair"
"alexander_-_the_fist_of_the_son","亞歷山大 機神之拳 1","Alexander - The Fist of the Son","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","5","11","100","100","4","4","shallow"
"alexander_-_the_fist_of_the_son_savage","亞歷山大零式 律動之章 1 (零式)","Alexander - The Fist of the Son (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","2","10","52","70","0","1","3","fair"
"alexander_-_the_heart_of_the_creator","亞歷山大 天動之章 3","Alexander - The Heart of the Creator","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","7","92.3","85.7","0","1","3","fair"
"alexander_-_the_heart_of_the_creator_savage","亞歷山大零式 天動之章 3 (零式)","Alexander - The Heart of the Creator (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","5","137.8","100","0","0","3","fair"
"alexander_-_the_soul_of_the_creator","亞歷山大 天動之章 4","Alexander - The Soul of the Creator","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","17","116.4","88.2","0","2","3","fair"
"alexander_-_the_soul_of_the_creator_savage","亞歷山大零式 天動之章 4 (零式)","Alexander - The Soul of the Creator (Savage)","3.x 蒼穹的禁城 (Heavensward)","raid","60","1","21","137.3","81","0","2","3","fair"
"alexandria","亞歷山德里亞","Alexandria","7.x 黃金的遺產 (Dawntrail)","dungeon","99","3","22","38.8","95.5","100","6","3","good"
"alphascape_v10","歐米茄秘境 阿爾法區","Alphascape V1.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","5","31.4","100","100","1","5","fair"
"alphascape_v10_savage","歐米茄秘境 阿爾法區零式1","Alphascape V1.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","8","49.8","100","100","1","8","good"
"alphascape_v20","歐米茄秘境 阿爾法區 V2.0","Alphascape V2.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","7","48.3","100","100","0","5","good"
"alphascape_v20_savage","歐米茄秘境 阿爾法區零式2","Alphascape V2.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","7","45.1","100","100","3","7","good"
"alphascape_v30","歐米茄秘境 阿爾法區 V3.0","Alphascape V3.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","11","47.5","90.9","100","5","5","excellent"
"alphascape_v30_savage","歐米茄秘境 阿爾法區零式3","Alphascape V3.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","8","52.5","100","100","4","8","excellent"
"alphascape_v40","歐米茄秘境 阿爾法區 V4.0","Alphascape V4.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","15","37.3","100","100","4","5","good"
"alphascape_v40_savage","歐米茄秘境 阿爾法區零式4","Alphascape V4.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","3","11","36.8","100","100","7","8","good"
"alzadaals_legacy","阿爾扎達爾遺產","Alzadaal's Legacy (Duty)","6.x 曉月之終途 (Endwalker)","dungeon","90","3","14","88.1","78.6","0","2","3","fair"
"amaurot","亞馬羅特","Amaurot","5.x 漆黑的反叛者 (Shadowbringers)","dungeon","79","3","9","14","88.9","100","3","3","shallow"
"amdapor_keep","安達普爾要塞","Amdapor Keep","2.x 重生之境 (A Realm Reborn)","dungeon","50","3","17","67.9","88.2","0","0","3","fair"
"amdapor_keep_hard","邪教駐地無限城古堡（零式）","Amdapor Keep (Hard)","3.x 蒼穹的禁城 (Heavensward)","dungeon","60","3","11","47","81.8","100","4","4","excellent"
"anabaseios_the_eleventh_circle","萬魔殿 天獄之闕3","Anabaseios: The Eleventh Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","5","32","80","100","0","5","fair"
"anabaseios_the_eleventh_circle_savage","萬魔殿 天獄之闕零式3","Anabaseios: The Eleventh Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","12","51.2","100","100","4","8","excellent"
"anabaseios_the_ninth_circle","萬魔殿 天獄之闕1","Anabaseios: The Ninth Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","29.8","100","100","3","5","fair"
"anabaseios_the_ninth_circle_savage","萬魔殿 天獄之闕零式1","Anabaseios: The Ninth Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","11","49.4","100","100","6","8","excellent"
"anabaseios_the_tenth_circle","萬魔殿 天獄之闕2","Anabaseios: The Tenth Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","28","100","100","2","6","fair"
"anabaseios_the_tenth_circle_savage","萬魔殿 天獄之闕零式2","Anabaseios: The Tenth Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","12","51.5","100","100","5","8","excellent"
"anabaseios_the_twelfth_circle","萬魔殿 天獄之闕4","Anabaseios: The Twelfth Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","34.3","100","100","2","6","good"
"anabaseios_the_twelfth_circle_savage","萬魔殿 天獄之闕零式4","Anabaseios: The Twelfth Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","2","20","52.7","100","100","9","11","excellent"
"anamnesis_anyder","回憶 Anyder","Anamnesis Anyder","5.x 漆黑的反叛者 (Shadowbringers)","dungeon","80","3","9","13.3","100","100","4","3","shallow"
"antitower","反塔","The Antitower","3.x 蒼穹的禁城 (Heavensward)","dungeon","60","3","12","97.4","58.3","0","4","3","fair"
"asphodelos_the_first_circle","萬魔殿 邊境之獄1","Asphodelos: The First Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","8","29","100","87.5","3","4","fair"
"asphodelos_the_first_circle_savage","萬魔殿 邊境之獄零式1","Asphodelos: The First Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","6","24.8","100","100","2","3","fair"
"asphodelos_the_fourth_circle","萬魔殿 邊獄之獄4","Asphodelos: The Fourth Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","47.7","100","100","2","6","good"
"asphodelos_the_fourth_circle_savage","萬魔殿 邊獄之獄零式4","Asphodelos: The Fourth Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","2","12","51.2","100","100","5","10","excellent"
"asphodelos_the_second_circle","萬魔殿 邊獄之獄2","Asphodelos: The Second Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","26","100","100","3","5","fair"
"asphodelos_the_second_circle_savage","萬魔殿 邊獄之獄零式2","Asphodelos: The Second Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","9","54.4","100","100","3","8","excellent"
"asphodelos_the_third_circle","萬魔殿 邊獄之獄3","Asphodelos: The Third Circle","6.x 曉月之終途 (Endwalker)","raid","90","1","6","36.7","100","100","3","5","good"
"asphodelos_the_third_circle_savage","萬魔殿 邊獄之獄零式3","Asphodelos: The Third Circle (Savage)","6.x 曉月之終途 (Endwalker)","raid","90","1","8","48.5","100","100","4","8","excellent"
"aurum_vale","黃金谷","The Aurum Vale","2.x 重生之境 (A Realm Reborn)","dungeon","49","3","11","114","54.5","0","0","3","fair"
"a_relic_reborn_the_chimera","奇美拉的重生","A Relic Reborn: The Chimera","2.x 重生之境 (A Realm Reborn)","dungeon","50","1","8","100","100","0","0","3","fair"
"a_relic_reborn_the_hydra","海德拉的重生","A Relic Reborn: The Hydra","2.x 重生之境 (A Realm Reborn)","dungeon","50","1","8","85","62.5","0","0","3","fair"
"baelsars_wall","巴埃薩爾長城","Baelsar's Wall","3.x 蒼穹的禁城 (Heavensward)","dungeon","60","3","14","66.4","78.6","0","2","3","fair"
"bardams_mettle","巴爾達姆試煉場","Bardam's Mettle","4.x 紅蓮之狂潮 (Stormblood)","dungeon","65","3","21","30.8","100","100","4","3","good"
"battle_in_the_big_keep","大要塞之戰","Battle in the Big Keep","2.x 重生之境 (A Realm Reborn)","trial","50","1","20","121","100","0","3","3","fair"
"battle_on_the_big_bridge","大橋之戰","Battle on the Big Bridge","2.x 重生之境 (A Realm Reborn)","trial","50","1","10","119.4","90","0","0","3","fair"
"binding_coil_of_bahamut_-_turn_1","巴哈姆特大迷宮 邂逅之章1","The Binding Coil of Bahamut - Turn 1","2.x 重生之境 (A Realm Reborn)","raid","50","2","9","76.1","77.8","0","0","3","fair"
"binding_coil_of_bahamut_-_turn_2","巴哈姆特大迷宮 邂逅之章2","The Binding Coil of Bahamut - Turn 2","2.x 重生之境 (A Realm Reborn)","raid","50","1","6","85.3","50","0","1","3","fair"
"binding_coil_of_bahamut_-_turn_3","巴哈姆特纏線 第 3 層","The Binding Coil of Bahamut - Turn 3","2.x 重生之境 (A Realm Reborn)","raid","50","1","4","20.2","50","100","0","4","shallow"
"binding_coil_of_bahamut_-_turn_4","巴哈姆特大迷宮 邂逅之章4","The Binding Coil of Bahamut - Turn 4","2.x 重生之境 (A Realm Reborn)","raid","50","1","5","21.4","80","100","5","4","fair"
"binding_coil_of_bahamut_-_turn_5","巴哈姆特大迷宮 邂逅之章5","The Binding Coil of Bahamut - Turn 5","2.x 重生之境 (A Realm Reborn)","raid","50","1","1","129","100","0","0","3","shallow"
"bowl_of_embers","火光之碗","The Bowl of Embers","2.x 重生之境 (A Realm Reborn)","trial","22","1","4","123.8","100","0","0","3","shallow"
"bowl_of_embers_extreme","火光之碗 (殲殛戰)","The Bowl of Embers (Extreme)","2.x 重生之境 (A Realm Reborn)","trial","50","1","3","153","100","0","0","3","shallow"
"bowl_of_embers_hard","火光之碗 (殲滅戰)","The Bowl of Embers (Hard)","2.x 重生之境 (A Realm Reborn)","trial","50","1","6","12.3","100","83.3","3","4","shallow"
"brayfloxs_longstop","布雷福洛斯長停","Brayflox's Longstop","2.x 重生之境 (A Realm Reborn)","dungeon","35","5","17","85.8","88.2","0","2","5","fair"
"brayfloxs_longstop_hard","布雷福洛斯長停 (困難)","Brayflox's Longstop (Hard)","2.x 重生之境 (A Realm Reborn)","dungeon","50","3","9","84.4","66.7","0","1","3","fair"
"burn","焚毀之家","The Burn","4.x 紅蓮之狂潮 (Stormblood)","dungeon","70","3","17","31.3","100","94.1","5","3","good"
"castrum_abania","阿巴尼亞要塞","Castrum Abania","4.x 紅蓮之狂潮 (Stormblood)","dungeon","69","3","14","41.3","100","85.7","7","3","excellent"
"castrum_fluminis","魔導要塞","Castrum Fluminis","4.x 紅蓮之狂潮 (Stormblood)","trial","70","1","5","14.4","80","80","2","4","shallow"
"castrum_marinum","馬里納姆魔導要塞","Castrum Marinum","5.x 漆黑的反叛者 (Shadowbringers)","trial","80","1","5","11.6","100","80","3","4","shallow"
"castrum_marinum_extreme","馬里納姆魔導要塞 (極)","Castrum Marinum (Extreme)","5.x 漆黑的反叛者 (Shadowbringers)","trial","80","1","6","16","100","100","3","4","shallow"
"castrum_meridianum","皇都梅利提敦","Castrum Meridianum","2.x 重生之境 (A Realm Reborn)","trial","50","3","16","90.8","75","0","4","3","fair"
"chrysalis","蛹","The Chrysalis","2.x 重生之境 (A Realm Reborn)","trial","50","1","6","14.5","100","100","2","5","shallow"
"cinder_drift","餘燼飄渺","Cinder Drift","5.x 漆黑的反叛者 (Shadowbringers)","trial","80","1","5","17","100","100","2","4","shallow"
"cinder_drift_extreme","餘燼飄渺 (極)","Cinder Drift (Extreme)","5.x 漆黑的反叛者 (Shadowbringers)","trial","80","1","6","16.7","100","100","2","4","shallow"
"cloud_deck","天雲甲板","The Cloud Deck","5.x 漆黑的反叛者 (Shadowbringers)","trial","80","1","5","12.4","80","80","1","4","shallow"
"cloud_deck_extreme","天雲甲板 (極)","The Cloud Deck (Extreme)","5.x 漆黑的反叛者 (Shadowbringers)","trial","80","1","6","16","100","100","2","4","shallow"
"clyteum","克麗提姆","The Clyteum","7.x 黃金的遺產 (Dawntrail)","dungeon","100","3","21","97.7","76.2","0","5","3","fair"
"containment_bay_p1t6","兵器隔離倉 P1T6","Containment Bay P1T6","3.x 蒼穹的禁城 (Heavensward)","trial","60","1","8","128.6","75","0","0","3","fair"
"containment_bay_p1t6_extreme","兵器隔離倉 P1T6 殲殛戰","Containment Bay P1T6 (Extreme)","3.x 蒼穹的禁城 (Heavensward)","trial","60","1","8","30.5","75","0","0","3","fair"
"containment_bay_s1t7","兵器隔離倉 S1T7","Containment Bay S1T7","3.x 蒼穹的禁城 (Heavensward)","trial","60","1","7","26","100","100","1","4","fair"
"containment_bay_s1t7_extreme","兵器隔離倉 S1T7 殲殛戰","Containment Bay S1T7 (Extreme)","3.x 蒼穹的禁城 (Heavensward)","trial","60","1","8","39.2","75","0","2","3","fair"
"containment_bay_z1t9","兵器隔離倉 Z1T9","Containment Bay Z1T9","3.x 蒼穹的禁城 (Heavensward)","trial","60","1","16","131.4","81.2","0","1","3","fair"
"containment_bay_z1t9_extreme","兵器隔離倉 Z1T9 殲殛戰","Containment Bay Z1T9 (Extreme)","3.x 蒼穹的禁城 (Heavensward)","trial","60","1","4","61.5","100","0","0","3","shallow"
"copied_factory","複製工廠廢墟","The Copied Factory","5.x 漆黑的反叛者 (Shadowbringers)","alliance","80","4","42","38.6","100","97.6","12","4","good"
"copperbell_mines","銅鈴銅山","Copperbell Mines","2.x 重生之境 (A Realm Reborn)","dungeon","20","3","11","78","81.8","0","3","3","fair"
"copperbell_mines_hard","銅鈴銅山（零式）","Copperbell Mines (Hard)","2.x 重生之境 (A Realm Reborn)","dungeon","50","3","10","40.5","90","100","8","3","excellent"
"crown_of_the_immaculate","純白王冠","The Crown of the Immaculate","5.x 漆黑的反叛者 (Shadowbringers)","trial","79","1","5","12.2","100","100","2","4","shallow"
"crown_of_the_immaculate_extreme","純白王冠 (極)","The Crown of the Immaculate (Extreme)","5.x 漆黑的反叛者 (Shadowbringers)","trial","80","1","6","17.5","83.3","100","3","4","shallow"
"cutters_cry","科特之嚎","Cutter's Cry","2.x 重生之境 (A Realm Reborn)","dungeon","41","3","15","94","86.7","0","0","3","fair"
"dancing_plague","舞蹈瘟疫","The Dancing Plague","5.x 漆黑的反叛者 (Shadowbringers)","trial","70","1","5","13.2","100","100","1","4","shallow"
"dancing_plague_extreme","舞蹈瘟疫 (極)","The Dancing Plague (Extreme)","5.x 漆黑的反叛者 (Shadowbringers)","trial","70","1","6","16.8","100","100","2","4","shallow"
"dark_inside","黑暗深淵","The Dark Inside","6.x 曉月之終途 (Endwalker)","trial","89","1","6","21.7","66.7","100","2","5","fair"
"dead_ends","末日終焉之地","The Dead Ends","6.x 曉月之終途 (Endwalker)","dungeon","89","3","15","34.5","100","100","6","3","good"
"deltascape_v10","歐米茄秘境 三角區 V1.0","Deltascape V1.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","12","21.2","100","91.7","4","4","fair"
"deltascape_v10_savage","歐米茄秘境 三角區零式1","Deltascape V1.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","8","60","100","100","3","8","excellent"
"deltascape_v20","歐米茄秘境 三角區 二層","Deltascape V2.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","5","28.8","100","100","0","5","fair"
"deltascape_v20_savage","歐米茄秘境 三角區零式2","Deltascape V2.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","11","47.4","100","100","3","10","excellent"
"deltascape_v30","歐米茄秘境 三角區 V3.0","Deltascape V3.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","14","49.3","100","100","2","6","good"
"deltascape_v30_savage","歐米茄秘境 三角區零式3","Deltascape V3.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","10","82.7","100","100","3","9","excellent"
"deltascape_v40","歐米茄秘境 三角區 四層","Deltascape V4.0","4.x 紅蓮之狂潮 (Stormblood)","raid","70","1","5","34.4","100","100","1","5","fair"
"deltascape_v40_savage","歐米茄秘境 三角區零式4","Deltascape V4.0 (Savage)","4.x 紅蓮之狂潮 (Stormblood)","raid","70","2","11","70.8","100","100","6","9","excellent"
"dohn_mheg","頓魅鎮","Dohn Mheg","5.x 漆黑的反叛者 (Shadowbringers)","dungeon","74","3","15","55.7","100","100","13","3","excellent"
"doma_castle","多瑪城","Doma Castle","4.x 紅蓮之狂潮 (Stormblood)","dungeon","67","3","10","12.6","90","100","5","3","shallow"
"dragonsongs_reprise_ultimate","幻想龍詩絕境戰","Dragonsong's Reprise (Ultimate)","6.x 曉月之終途 (Endwalker)","ultimate","90","6","32","35.8","100","100","15","6","good"
"dragons_neck","龍頸要塞","The Dragon's Neck","2.x 重生之境 (A Realm Reborn)","trial","50","1","12","73.9","66.7","0","1","3","fair"
